,usage,Temperature,Pression,censored,event (fail or censored)
0,False,14.975283707017608,1000.6954295909401,False,374.96963956347
1,False,16.85780677267677,992.7578814669071,False,336.45767926983166
2,False,18.56595428629426,1002.5092875959236,False,268.89438720990216
3,True,14.68176842728712,994.701872640538,False,59.60865767745483
4,False,16.365552021683467,995.1310569286379,False,573.565608383586
5,True,17.18192731500789,992.0647509262249,False,96.20329734619388
6,False,16.45630173549463,1004.9528704462275,False,467.46106322567
7,True,17.033095422833025,988.1028234656235,False,221.5402056560161
8,True,18.466241632113093,1012.2220425399884,False,182.84954634865917
9,False,23.317018530442866,988.6844753718171,False,146.4705015224127
10,False,17.984917059692233,998.9433377118955,False,296.59571179540075
11,True,24.03319493455929,1001.9397075415197,False,149.34874235646635
12,False,23.666692623511732,983.8415179212499,False,455.64876784058976
13,True,13.413577117138608,990.4370812615713,False,487.5640547369825
14,False,18.961643647445406,1007.1901513353355,False,70.58180725003133
15,False,15.17119207980127,998.437099770694,False,670.0445479542913
16,True,21.076982860567206,982.1278319175293,False,109.47391542516706
17,False,19.287737068700206,994.4109130564793,False,360.3306939417662
18,True,19.945843572208013,987.821628442605,False,389.2946158663818
19,True,16.636443323638293,1008.630908963397,False,30.798764015739685
20,False,17.339436374502043,992.4297386236719,False,447.92625513567316
21,False,17.191569287595236,991.2166277327074,False,241.80773491280092
22,False,24.101503875211087,1001.7834433827536,False,196.83496354071445
23,False,28.23727572348502,988.7367428693544,False,168.35396519708942
24,True,12.791587423072773,1004.3737879503082,False,106.13969747469093
25,True,21.802492833354172,990.7604913793315,False,500.5640644683501
26,True,17.927875290670908,999.9309299912546,False,121.21233436637687
27,False,19.941700013947944,1003.0591640743353,False,571.3822619925393
28,True,20.829265705798154,1006.8637735354896,False,209.23770478333938
29,True,23.065493347817757,1003.9453042867129,False,38.03281779442681
30,False,22.252177700057146,993.0205157631175,False,300.1609734988091
31,True,13.394424722096858,998.2679005701257,False,107.65378460023904
32,False,13.442004326891498,996.920756902206,False,257.21143449882106
33,False,24.9766176488647,989.9634822507077,False,193.08669286907437
34,False,11.577487501424653,1004.5062751093981,False,509.5667946376947
35,True,24.361584231909436,1005.0591552657751,False,468.2976307395041
36,False,28.098988147884285,1000.9148300844621,False,227.60968113624048
37,True,22.4252938407624,1002.1208525977133,False,588.4164163074527
38,False,25.247673014316177,1016.2061150102427,False,268.9587256140084
39,False,24.352319695223308,1009.7528149327196,False,349.03142956637583
40,False,25.45971548897105,1003.0632703154961,False,531.8493687864074
41,True,30.227830135062224,998.1621969236197,False,464.96462498915014
42,False,11.186013830334803,997.6477600687613,False,45.8502093431011
43,False,17.03288023749343,990.8052278790849,False,114.65010738640913
44,False,15.02543979777575,1007.2995582681629,False,137.3572666367814
45,False,11.527505735159739,1004.2957585514312,False,308.79736663093195
46,False,11.923106624380452,995.0069557932792,False,363.82658047974496
47,False,16.92138361297624,998.9388248574659,False,160.2934789086136
48,False,22.447435364676394,995.57120766733,False,343.98135560586775
49,False,26.661247041081168,1003.8620432622467,False,115.09954264429585
50,False,18.49561610963783,1005.3422879457376,False,550.6813010486387
51,False,28.11080439475416,991.7047124870937,False,298.500277113424
52,False,21.331894360396777,980.6724007222558,False,238.95611445282154
53,False,20.272791676559972,979.8542878193155,False,496.79890636783335
54,True,19.69344593427504,1009.0082290067941,False,355.299660644852
55,True,18.37008041777017,993.1882449444681,False,74.3048609036401
56,False,24.922841520136362,988.8787122433441,False,318.1912864438752
57,False,23.63108189648161,998.0306464854682,False,138.28422801699045
58,False,19.29287863269173,998.1173552167036,False,278.4091630580596
59,True,19.322382811884076,1007.7111341251106,False,209.035125690651
